French,English
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
mettre,to put
eux,them
ville,city
parlé,speak
arrivé,come
devrait,should
longtemps,long time
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
donner,give
type,type
donné,given
train,train
endroit,place
yeux,eyes
dont,whose
trouve,find
premier,first
main,hand
première,first
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
suite,after
venez,come
devant,in front of
vers,towards
chambre,bedroom
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
cause,cause
eau,water
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
